episode,step,action,action_name,reward,cost,cost_reduction_from_initial,percent_reduction
1,1,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,2,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,4,79,stable-sort-expander,0.0,442.18,0.0,0.0
1,5,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,6,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,7,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,8,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,9,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,10,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,11,5,all-gather-combiner,0.0,442.18,0.0,0.0
1,12,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,13,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,14,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,15,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,16,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,17,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,18,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,19,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,20,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,21,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,22,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,23,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,24,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,25,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,26,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,27,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,28,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,29,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
1,30,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
2,1,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
2,2,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
2,3,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
2,4,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
2,5,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
2,6,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
2,7,0,AssumeGatherIndicesInBoundRewriteToCopy,0.0,442.18,0.0,0.0
